#: table_doi: 10.17182/hepdata.79053.v1/t1
#: name: Table 1
#: description: Nuclear modification factor of $(D^{0}+\overline{D}\hspace{.01cm}^{0})/2$ as a function of $p_{T}$ in the centrality range $0-100\%$ and $0-10\%$.
#: data_file: figure3.yaml
#: keyword reactions: P P --> D0 --> K + PI | PB PB --> D0 --> K + PI
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: proton-proton | lead-lead | nuclear modification factor
#: RE,,,PB PB --> D0 --> K + PI
#: SQRT(S) [GEV],,,5020
#: $|$RAPIDITY(D)$|$,,,$<$ 1
#: RE,,,PB PB --> D0 --> K + PI
#: SQRT(S) [GEV],,,5020
#: $|$RAPIDITY(D)$|$,,,$<$ 1
#: CENTRALITY [$\%$],,,0.0 - 10.0
#: GLOBAL UNCERTAINTY (TAA and LUMI) [$\%$],,,-4.3 +3.6
# PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
2.5  2.0  3.0  0.761  0.161  -0.161  0.183  -0.183
3.5  3.0  4.0  0.609  0.092  -0.092  0.126  -0.126
4.5  4.0  5.0  0.337  0.035  -0.035  0.067  -0.067
5.5  5.0  6.0  0.167  0.02  -0.02  0.033  -0.033
7.0  6.0  8.0  0.18  0.018  -0.018  0.035  -0.035
9.0  8.0  10.0  0.175  0.014  -0.014  0.035  -0.035
11.25  10.0  12.5  0.219  0.02  -0.02  0.042  -0.042
13.75  12.5  15.0  0.225  0.024  -0.024  0.043  -0.043
17.5  15.0  20.0  0.263  0.031  -0.031  0.059  -0.059
22.5  20.0  25.0  0.345  0.052  -0.052  0.071  -0.071
27.5  25.0  30.0  0.504  0.061  -0.061  0.104  -0.104
35.0  30.0  40.0  0.47  0.054  -0.054  0.099  -0.099
50.0  40.0  60.0  0.667  0.049  -0.049  0.131  -0.131
80.0  60.0  100.0  0.682  0.079  -0.079  0.169  -0.169

