1.5 1 2 0.0117909 0.0653971 0.0653971 0.0153971 0.0153971 
2.5 2 3 0.033109 0.0251791 0.0251791 0.011 0.011 
3.5 3 4 0.0112285 0.0170606 0.0170606 0.0075 0.0075 
4.5 4 5 0.0392487 0.0138894 0.0138894 0.0045 0.0045 
5.5 5 6 0.0444653 0.0126662 0.0126662 0.0043 0.0043 
7 6 8 0.0221752 0.00907832 0.00907832 0.0055 0.0055 
9 8 10 0.023251 0.0189656 0.0189656 0.005 0.005 
12.5 10 15 0.0055637 0.0215465 0.0215465 0.006 0.006 
17.5 15 20 0.00555071 0.0249797 0.0249797 0.011 0.011 
25 20 30 0.015979 0.0315642 0.0315642 0.018 0.018 

