#: table_doi: 10.17182/hepdata.95750.v2/t5
#: name: RAA
#: description: $D^0$ $R_{AA}$ in Au+Au collisions at $\sqrt{s_{NN}} =200$ GeV for $0-10\%$ (a), $10-40\%$ (b) and $40-80\%$ (c) centrality bins, respectively. The first two and last two data points are presented as empty circles, indicating that the p+p reference is extrapolated into these $p_T$ ranges. The statistical and systematic uncertainties are shown as error bars and brackets on the data points. The light and dark green boxes on the right depict the normalization uncertainties in determining the $N_{bin}$ in Au+Au collisions and the total inelastic cross section in p+p collisions, respectively.
#: data_file: Fig31_raa.yaml
#: keyword reactions: AU AU --> NEUTRAL X
#: keyword cmenergies: 200.0
#: $p_T$,$D^0$ in $0-10\%$ centrality Au+Au collisions
# $\langle p_T \rangle$,$R_{AA}$,Stat error +,Stat error -,Sys error +,Sys error -
0.242  0    0.5  0.312  0.0695  -0.0695  0.798  -0.154
0.728  0.5  1    0.386  0.0233  -0.0233  0.253  -0.122
1.22   1    1.5  0.482  0.0146  -0.0146  0.2    -0.13
1.71   1.5  2    0.622  0.0136  -0.0136  0.209  -0.147
2.21   2    2.5  0.684  0.0141  -0.0141  0.233  -0.157
2.71   2.5  3    0.7    0.0149  -0.0149  0.258  -0.172
3.36   3    4    0.539  0.0114  -0.0114  0.187  -0.128
4.36   4    5    0.473  0.0174  -0.0174  0.152  -0.112
5.37   5    6    0.413  0.0277  -0.0277  0.159  -0.116
6.59   6    8    0.301  0.0311  -0.0311  0.138  -0.0934
8.64   8    10   0.184  0.0559  -0.0559  0.197  -0.103
