#: table_doi: 10.17182/hepdata.95750.v2/t5
#: name: RAA
#: description: $D^0$ $R_{AA}$ in Au+Au collisions at $\sqrt{s_{NN}} =200$ GeV for $0-10\%$ (a), $10-40\%$ (b) and $40-80\%$ (c) centrality bins, respectively. The first two and last two data points are presented as empty circles, indicating that the p+p reference is extrapolated into these $p_T$ ranges. The statistical and systematic uncertainties are shown as error bars and brackets on the data points. The light and dark green boxes on the right depict the normalization uncertainties in determining the $N_{bin}$ in Au+Au collisions and the total inelastic cross section in p+p collisions, respectively.
#: data_file: Fig31_raa.yaml
#: keyword reactions: AU AU --> NEUTRAL X
#: keyword cmenergies: 200.0
#: $p_T$,$D^0$ in $40-80\%$ centrality Au+Au collisions
# $\langle p_T \rangle$,$R_{AA}$,Stat error +,Stat error -,Sys error +,Sys error -
0.242 0 0.5 0.313  0.0328  -0.0328  0.798  -0.146
0.728 0.5 1 0.371  0.0157  -0.0157  0.24  -0.114
1.22 1 1.5 0.449  0.012  -0.012  0.172  -0.107
1.71 1.5 2 0.569  0.0124  -0.0124  0.178  -0.121
2.21 2 2.5 0.672  0.0141  -0.0141  0.219  -0.144
2.71 2.5 3 0.751  0.0172  -0.0172  0.263  -0.17
3.36 3 4 0.722  0.0152  -0.0152  0.247  -0.166
4.36 4 5 0.76  0.0269  -0.0269  0.242  -0.176
5.37 5 6 0.891  0.05  -0.05  0.317  -0.221
6.59 6 8 0.775  0.0619  -0.0619  0.338  -0.215
8.64 8 10 0.676  0.161  -0.161  0.756  -0.303

