# https://lhcbproject.web.cern.ch/Publications/LHCbProjectPublic/Directory_LHCb-PAPER-2023-006/Table_11.tex
#
0.5  0  1    0.585  0.029  -0.029  0.052  -0.048
1.5  1  2    0.606  0.006  -0.006  0.033  -0.032
2.5  2  3    0.634  0.005  -0.005  0.028  -0.028
3.5  3  4    0.678  0.005  -0.005  0.024  -0.029
4.5  4  5    0.684  0.007  -0.007  0.025  -0.027
5.5  5  6    0.698  0.010  -0.010  0.026  -0.028
6.5  6  7    0.723  0.015  -0.015  0.031  -0.032
7.5  7  8    0.715  0.028  -0.028  0.036  -0.037
8.5  8  9    0.806  0.030  -0.030  0.052  -0.050
9.5  9  10    0.847  0.045  -0.045  0.065  -0.060
