#: table_doi: 10.17182/hepdata.77603.v1/t2
#: name: Table 2
#: description: The $v_{2}$ result from SP method as a function of $p_{T}$ in 5-10\% centrality bin of PbPb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV. Shaded boxes represent systematic uncertainties.
#: data_file: data2.yaml
#: data_license:   
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: FLOW
#: keyword phrases: 
#: keyword cmenergies: 5020.0
#: $|\eta|$,< 1
#: $|\Delta\eta|$,> 3
#: $p_{T}$,> 1.0 GEV/C
#: centrality,5-10 PCT
#: RE,PB PB --> CHARGED X
#: SQRT(S) [GEV],5020.0
# $p_{T}$ [GEV/C],$v_{2}\{SP\}$,stat +,stat -,sys +,sys -
1.1   1     1.25  0.0645  0.0001  -0.0001  0.0014  -0.0014
1.4   1.25  1.5   0.0749  0.0001  -0.0001  0.0015  -0.0015
1.7   1.5   2     0.0876  0.0001  -0.0001  0.0018  -0.0018
2.2   2     2.5   0.1036  0.0001  -0.0001  0.0021  -0.0021
2.7   2.5   3     0.116   0.0002  -0.0002  0.0023  -0.0023
3.2   3     3.5   0.1234  0.0002  -0.0002  0.0025  -0.0025
3.7   3.5   4     0.1242  0.0004  -0.0004  0.0025  -0.0025
4.4   4     5     0.1156  0.0004  -0.0004  0.0023  -0.0023
5.4   5     6     0.0914  0.0008  -0.0008  0.0018  -0.0018
6.4   6     7     0.069   0.0013  -0.0013  0.0014  -0.0014
7.4   7     8     0.0543  0.0018  -0.0018  0.0011  -0.0011
8.8   8     10    0.0505  0.002   -0.002   0.001   -0.001
10.9  10    12    0.0388  0.0031  -0.0031  0.0008  -0.0008
12.9  12    14    0.0371  0.0045  -0.0045  0.0008  -0.0008
16.2  14    20    0.0354  0.0008  -0.0008  0.0029  -0.0029
22.4  10    26    0.0275  0.0015  -0.0015  0.0029  -0.0029
29.5  26    35    0.0322  0.0022  -0.0022  0.0052  -0.0052
39.1  35    45    0.0285  0.0032  -0.0032  0.0056  -0.0056
50.7  45    60    0.0246  0.0049  -0.0049  0.0097  -0.0097
67.7  60    80    0.0228  0.0087  -0.0087  0.0113  -0.0113
88.0  80    100   0.0129  0.0173  -0.0173  0.0107  -0.0107

