#: table_doi: 10.17182/hepdata.146644.v1/t10
#: name: Figure6-Panel2_fwdy_20-40
#: description: Nuclear modification factor for inclusive J$/psi$ as a function of pT in Pb-Pb collisions at $\sqrt{{s}_{NN}}$ = 5.02 TeV for 20-40% centrality interval and 2.5<y< 4. The given systematic uncertainties are the uncorrelated systematic ones over pT. The correlated systematic uncertainties over pT amount to 2.56%. ;
#: data_file: figure6-panel2_fwdy_20-40.yaml
#: SQRT(S) [GeV],,,5020.0
#: Particle,,,J/$\psi$
#: System,,,Pb--Pb
#: centrality,,,20--40%
# $p_{T}$ [GeV/$c$],$p_{T}$ [GeV/$c$] LOW,$p_{T}$ [GeV/$c$] HIGH,RAA,stat. uncertainty +,stat. uncertainty -,syst. uncertainty +,syst. uncertainty -
0.65  0.3  1  0.676  0.0193  -0.0193  0.0468  -0.0468
1.5  1  2  0.648  0.0135  -0.0135  0.0421  -0.0421
2.5  2  3  0.631  0.0138  -0.0138  0.0391  -0.0391
3.5  3  4  0.539  0.0109  -0.0109  0.0337  -0.0337
4.5  4  5  0.475  0.011  -0.011  0.0289  -0.0289
5.5  5  6  0.423  0.0121  -0.0121  0.024  -0.024
6.5  6  7  0.411  0.0145  -0.0145  0.0229  -0.0229
7.5  7  8  0.405  0.0188  -0.0188  0.0237  -0.0237
8.5  8  9  0.386  0.0228  -0.0228  0.0225  -0.0225
9.5  9  10  0.352  0.0279  -0.0279  0.0194  -0.0194
10.5  10  11  0.384  0.037  -0.037  0.0204  -0.0204
11.5  11  12  0.442  0.0578  -0.0578  0.0306  -0.0306
13.5  12  15  0.34  0.0371  -0.0371  0.0237  -0.0237
17.5  15  20  0.529  0.0929  -0.0929  0.0302  -0.0302

