# https://lhcbproject.web.cern.ch/Publications/LHCbProjectPublic/Directory_LHCb-PAPER-2023-024/Table_19.tex
0.5  0   1   0.42   0.07  0.07   0.07  0.07 
1.5  1   2   0.39   0.04  0.04   0.07  0.07 
2.5  2   3   0.52   0.04  0.04   0.08  0.08 
3.5  3   4   0.59   0.04  0.04   0.09  0.09 
4.5  4   5   0.63   0.05  0.05   0.10  0.10 
5.5  5   6   0.66   0.05  0.05   0.10  0.10 
6.5  6   7   0.62   0.05  0.05   0.11  0.11 
7.5  7   8   0.88   0.07  0.07   0.12  0.12 
9  8   10   0.85   0.08  0.08   0.12  0.12 
12  10   14   0.58   0.08  0.08   0.13  0.13 
