# https://lhcbproject.web.cern.ch/Publications/LHCbProjectPublic/Directory_LHCb-PAPER-2023-024/Table_20.tex
0.5  0   1   0.48   0.09  0.09   0.12  0.12 
1.5  1   2   0.66   0.06  0.06   0.12  0.12 
2.5  2   3   0.71   0.06  0.06   0.14  0.14 
3.5  3   4   0.82   0.07  0.07   0.16  0.16 
4.5  4   5   0.71   0.07  0.07   0.17  0.17 
5.5  5   6   0.84   0.07  0.07   0.18  0.18 
6.5  6   7   0.87   0.08  0.08   0.19  0.19 
7.5  7   8   0.81   0.09  0.09   0.20  0.20 
9  8   10   1.19   0.12  0.12   0.21  0.21 
12  10   14   0.88   0.11  0.11   0.22  0.22 
