# https://lhcbproject.web.cern.ch/Publications/LHCbProjectPublic/Directory_LHCb-PAPER-2023-024/Table_21.tex
0.5  0   1   0.88   0.19  0.19   0.13  0.13 
1.5  1   2   0.72   0.08  0.08   0.10  0.10 
2.5  2   3   0.78   0.09  0.09   0.11  0.11 
3.5  3   4   0.98   0.09  0.09   0.12  0.12 
4.5  4   5   0.86   0.09  0.09   0.12  0.12 
5.5  5   6   1.00   0.10  0.10   0.13  0.13 
6.5  6   7   1.15   0.13  0.13   0.14  0.14 
7.5  7   8   0.82   0.14  0.14   0.15  0.15 
9  8   10   1.20   0.15  0.15   0.15  0.15 
12  10   14   1.18   0.16  0.16   0.16  0.16 
