# https://lhcbproject.web.cern.ch/Publications/LHCbProjectPublic/Directory_LHCb-PAPER-2023-024/Table_22.tex
0.5  0   1   1.41   0.33  0.33   0.21  0.21 
1.5  1   2   1.04   0.12  0.12   0.18  0.18 
2.5  2   3   1.19   0.13  0.13   0.18  0.18 
3.5  3   4   1.62   0.15  0.15   0.20  0.20 
4.5  4   5   1.31   0.12  0.12   0.21  0.21 
5.5  5   6   1.13   0.13  0.13   0.21  0.21 
6.5  6   7   1.18   0.16  0.16   0.21  0.21 
7.5  7   8   1.06   0.18  0.18   0.21  0.21 
9  8   10   1.10   0.18  0.18   0.23  0.23 
12  10   14   0.86   0.17  0.17   0.26  0.26 
