#: table_doi: 10.17182/hepdata.98626.v1/t13
#: name: Table 13
#: description: J/psi nuclear modification in 3He+Au collisions as a function of pT and centrality at backward rapidity.  The statistical and systematic uncertainties vary point-to-point and are listed for each measured value.  An additional global systematic uncertainty is provided in each column heading, which applies to all data points per column.
#: data_file: RHeAu_cent_pT_S.yaml
#: keyword reactions: J/psi --> mu+mu-
#: keyword observables: R_AB
#: keyword cmenergies: 200.0
#: keyword phrases: Inclusive
#: ,,,$R_{HeAu}$ 20-40% Centrality $(-2.2 < y < -1.2)$
# $p_{T}[GeV/c]$,$p_{T}[GeV/c]$ LOW,$p_{T}[GeV/c]$ HIGH,$\frac{d^{2}N^{AB}/dydp_{T}}{\langle N_{coll} \rangle d^{2}N^{pp}/dydp_{T}}$  (global err. 11.2%),stat +,stat -,sys +,sys -
0.125  0.0  0.25  0.66  0.18  -0.18  0.06  -0.06
0.375  0.25  0.5  0.8  0.11  -0.11  0.07  -0.07
0.625  0.5  0.75  0.68  0.09  -0.09  0.06  -0.06
0.875  0.75  1.0  0.72  0.09  -0.09  0.07  -0.07
1.125  1.0  1.25  0.82  0.08  -0.08  0.07  -0.07
1.375  1.25  1.5  0.76  0.09  -0.09  0.07  -0.07
1.625  1.5  1.75  0.76  0.1  -0.1  0.07  -0.07
1.875  1.75  2.0  0.93  0.12  -0.12  0.08  -0.08
2.125  2.0  2.25  0.93  0.12  -0.12  0.08  -0.08
2.375  2.25  2.5  1.0  0.15  -0.15  0.09  -0.09
2.75  2.5  3.0  1.25  0.13  -0.13  0.11  -0.11
3.25  3.0  3.5  1.0  0.14  -0.14  0.09  -0.09
3.75  3.5  4.0  1.01  0.21  -0.21  0.09  -0.09
4.5  4.0  5.0  1.18  0.21  -0.21  0.12  -0.12
6.0  5.0  7.0  1.1  0.28  -0.28  0.11  -0.11
