#: table_doi: 10.17182/hepdata.142077.v1/t17
#: name: Figure 9b
#: description: $J/\psi$ nuclear modification factor, $R_{dAu}$, as a function of $p_T$ for (b) midrapidity 0–100% centrality integrated $d$+Au collisions. Type A represents uncertainties that are uncorrelated from point to point, Type B represents uncertainties that are correlated from point to point, and Type C represents uncertainties in the overall normalization.
#: data_file: fig9b.yaml
#: keyword reactions: $d$ Au —> $J/\psi$
#: keyword cmenergies: 200.0
#: keyword phrases: ppg125 | midrapidity
#: Rapidity,,,[-0.35,0.35]
#: Centrality (%),,,Minimum Bias
# $p_T$ [GeV/$c$],$p_T$ [GeV/$c$] LOW,$p_T$ [GeV/$c$] HIGH,$R_{dAu}$,Type A sys. +,Type A sys. -,Type B sys. +,Type B sys. -,Type C sys. +,Type C sys. -
0.25  0.0  0.5  0.78  0.07  -0.07  0.11  -0.11  0.06  -0.06
0.75  0.5  1.0  0.69  0.04  -0.04  0.09  -0.09  0.06  -0.06
1.25  1.0  1.5  0.68  0.035  -0.035  0.09  -0.09  0.05  -0.05
1.75  1.5  2.0  0.78  0.05  -0.05  0.1  -0.1  0.06  -0.06
2.25  2.0  2.5  0.9  0.08  -0.08  0.12  -0.12  0.07  -0.07
2.75  2.5  3.0  0.84  0.09  -0.09  0.11  -0.11  0.07  -0.07
3.25  3.0  3.5  1.0  0.14  -0.14  0.13  -0.13  0.08  -0.08
3.75  3.5  4.0  1.1  0.21  -0.21  0.15  -0.15  0.09  -0.09
4.5  4.0  5.0  1.1  0.22  -0.21  0.14  -0.14  0.08  -0.08
6.0  5.0  7.0  0.91  0.21  -0.21  0.11  -0.13  0.07  -0.07
8.0  7.0  9.0  0.77  0.4  -0.34  0.09  -0.12  0.06  -0.06

