#: table_doi: 10.17182/hepdata.130962.v1/t7
#: name: Table 7
#: description: The $v_{2}$ values as functions of centrality for prompt J/$\psi$ and prompt $\psi$(2S) mesons. The kinematic range is 6.5 $< p_{\text{T}} <$ 50 GeV/c and $|y| <$ 2.4.
#: data_file: data_7.yaml
#: keyword reactions: PB PB --> J/PSI < MU+ MU- > X | PB PB --> PSI(2S) < MU+ MU- > X
#: keyword observables: v2
#: keyword cmenergies: 5020.0
#: keyword phrases: Prompt J/psi and prompt psi(2S) elliptic flow
#: RE,,,PB PB --> J/PSI < MU+ MU- > X
#: SQRT(S)/NUCLEON [GEV],,,5020.0
#: PT [GEV/C],,,6.5-50.0
#: ABS(YRAP),,,0.0-2.4
Centrality [PCT],Centrality [PCT] LOW,Centrality [PCT] HIGH,PROMPT J/PSI V2,stat +,stat -,syst +,syst -
5.0,0.0,10.0,0.0313,0.0126,-0.0126,0.0031,-0.0031
15.0,10.0,20.0,0.0596,0.0106,-0.0106,0.0015,-0.0015
25.0,20.0,30.0,0.0794,0.0108,-0.0108,0.002,-0.002
35.0,10.0,60.0,--,0,0,0,0
35.0,30.0,40.0,0.0712,0.0118,-0.0118,0.0029,-0.0029
45.0,40.0,50.0,0.0695,0.0155,-0.0155,0.0013,-0.0013
70.0,50.0,90.0,0.0546,0.018,-0.018,0.0012,-0.0012

#: RE,,,PB PB --> PROMPT PSI(2S) < MU+ MU- > X
#: SQRT(S)/NUCLEON [GEV],,,5020.0
#: PT [GEV/C],,,6.5-50.0
#: ABS(YRAP),,,0.0-2.4
Centrality [PCT],Centrality [PCT] LOW,Centrality [PCT] HIGH,PROMPT PSI(2S) V2,stat +,stat -,syst +,syst -
5.0,0.0,10.0,0.002,0.104,-0.104,0.06,-0.06
15.0,10.0,20.0,--,0,0,0,0
25.0,20.0,30.0,--,0,0,0,0
35.0,10.0,60.0,0.18,0.085,-0.085,0.033,-0.033
35.0,30.0,40.0,--,0,0,0,0
45.0,40.0,50.0,--,0,0,0,0
70.0,50.0,90.0,--,0,0,0,0

Centrality [PCT],Centrality [PCT] LOW,Centrality [PCT] HIGH,<Npart>,error +,error -
5.0,0.0,10.0,356.9,0.9,-0.9
15.0,10.0,20.0,262.3,1.3,-1.3
25.0,20.0,30.0,188.2,1.4,-1.4
35.0,10.0,60.0,144.6,1.2,-1.2
35.0,30.0,40.0,131.0,1.4,-1.4
45.0,40.0,50.0,87.19,1.3,-1.3
70.0,50.0,90.0,27.12,0.6,-0.6

