# https://lhcbproject.web.cern.ch/Publications/LHCbProjectPublic/Directory_LHCb-PAPER-2023-006/Table_18.tex
0.5  0  1   0.139  0.015  0.015  0.014  0.014  
1.5  1  2   0.146  0.005  0.005  0.012  0.012  
2.5  2  3   0.159  0.003  0.003  0.010  0.010  
3.5  3  4   0.167  0.003  0.003  0.008  0.008  
4.5  4  5   0.179  0.004  0.004  0.009  0.009  
5.5  5  6   0.188  0.006  0.006  0.013  0.013  
6.5  6  7   0.193  0.008  0.008  0.017  0.017  
7.5  7  8   0.181  0.008  0.008  0.013  0.013  
8.5  8  9   0.175  0.011  0.011  0.017  0.017  
9.5  9  10   0.190  0.015  0.015  0.022  0.022 
