# https://lhcbproject.web.cern.ch/Publications/LHCbProjectPublic/Directory_LHCb-PAPER-2023-006/Table_19.tex
0.5  0  1   0.532  0.082  0.082  0.081  0.081
1.5  1  2   0.462  0.026  0.026  0.057  0.057
2.5  2  3   0.531  0.016  0.016  0.050  0.050
3.5  3  4   0.524  0.016  0.016  0.038  0.038
4.5  4  5   0.565  0.020  0.020  0.033  0.033
5.5  5  6   0.547  0.025  0.025  0.027  0.027
6.5  6  7   0.603  0.034  0.034  0.029  0.029
7.5  7  8   0.509  0.044  0.044  0.024  0.024
8.5  8  9   0.523  0.056  0.056  0.028  0.028
9.5  9  10  0.598  0.098  0.098  0.037  0.037
12  10  14   0.426  0.070  0.070  0.026  0.026
