#: table_doi: 10.17182/hepdata.135973.v1/t5
#: name: Figure 7 (left)
#: description: The ratio of the production cross sections of prompt $\Lambda^+_c$ to prompt $\mathrm{D_0}$ versus $p_{\mathrm{T}}$ from pp collisions. The global normalization uncertainty is 6.6%.
#: data_file: table_4.yaml
#: keyword cmenergies: 5020
#: keyword observables: LAMBDAc/D0
#: keyword phrases: Heavy Flavour | pp | CMS | LAMBDAc Baryon | Lc/D0 | QGP
#: keyword reactions: P P --> LAMBDAc+ --> P+ + K- + PI+
#: SQRT(S) [GeV],,,5020
#: $|y(\Lambda_c^+)|$,,,< 1
#: RE,,,P P --> LAMBDAc+ --> P+ + K- + PI+
#: GLOBAL UNCERTAINTY [$\%$],,,6.6
# $p_\mathrm{T}$,$p_\mathrm{T}$ LOW,$p_\mathrm{T}$ HIGH,$\Lambda_{c}^{+}/\mathrm{D^0}$ production ratio,stat +,stat -,sys +,sys -
3.5  3.0  4.0  0.712  0.095  -0.095  0.223  -0.223
4.5  4.0  5.0  0.552  0.048  -0.048  0.201  -0.201
5.5  5.0  6.0  0.351  0.03  -0.03  0.064  -0.064
7.0  6.0  8.0  0.342  0.029  -0.029  0.067  -0.067
9.0  8.0  10.0  0.217  0.019  -0.019  0.047  -0.047
11.25  10.0  12.5  0.235  0.026  -0.026  0.056  -0.056
13.75  12.5  15.0  0.24  0.039  -0.039  0.044  -0.044
17.5  15.0  20.0  0.177  0.035  -0.035  0.035  -0.035
25.0  20.0  30.0  0.165  0.045  -0.045  0.033  -0.033

