#: table_doi: 10.17182/hepdata.80816.v1/t12
#: name: Table 12
#: description: Nuclear modification factor of prompt J/psi mesons as a function of collision centrality in the mid- and most forward rapidity intervals. Global uncertainties arise from the full pp statistical and systematic uncertainties (including integrated luminosity uncertainty), and the number of minimum bias events uncertainty of the PbPb data. 
#: data_file: data12.yaml
#: keyword reactions: PB PB --> J/PSI X | P P --> J/PSI X
#: keyword observables: RAA
#: keyword phrases: J/Psi | Nuclear Modification Factor | Prompt | Proton-Proton Scattering | Lead-Lead Scattering | Muon production
#: keyword cmenergies: 5020.0
#: PT [GeV],,,6.5-50.0
#: ABS(YRAP),,,0.0-0.6
#: RE,,,PB PB --> J/PSI < MU+ MU- > X,,,,
#: GLOBAL UNCERT.,,,5.3 %
#: SQRT(S)/NUCLEON [GeV],,,5020.0
# Centrality [PCT]  Centrality [PCT] LOW  Centrality [PCT] HIGH  $ R_{AA} $  stat +  stat -  sys +  sys -
5.0  0.0  10.0  0.241  0.008  -0.008  0.014  -0.015
15.0  10.0  20.0  0.332  0.012  -0.012  0.019  -0.021
25.0  20.0  30.0  0.412  0.016  -0.016  0.028  -0.029
35.0  30.0  40.0  0.456  0.021  -0.021  0.033  -0.033
45.0  40.0  50.0  0.599  0.034  -0.034  0.052  -0.052
75.0  50.0  100.0  0.736  0.043  -0.043  0.092  -0.067

# NPART [PCT]  Centrality [PCT] LOW  Centrality [PCT] HIGH  $ R_{AA} $  stat +  stat -  sys +  sys -
358.8  0.0  10.0  0.241  0.008  -0.008  0.014  -0.015
264.2  10.0  20.0  0.332  0.012  -0.012  0.019  -0.021
189.2  20.0  30.0  0.412  0.016  -0.016  0.028  -0.029
131.4  30.0  40.0  0.456  0.021  -0.021  0.033  -0.033
86.9  40.0  50.0  0.599  0.034  -0.034  0.052  -0.052
21.9  50.0  100.0  0.736  0.043  -0.043  0.092  -0.067

#: PT [GeV]      6.5-50.0
#: ABS(YRAP)      1.8-2.4
#: RE      PB PB --> J/PSI < MU+ MU- > X        
#: GLOBAL UNCERT.      4.8 %
#: SQRT(S)/NUCLEON [GeV]      5020.0
# Centrality [PCT]  Centrality [PCT] LOW  Centrality [PCT] HIGH  $ R_{AA} $  stat +  stat -  sys +  sys -
5.0  0.0  10.0  0.212  0.012  -0.012  0.016  -0.016
15.0  10.0  20.0  0.27  0.015  -0.015  0.02  -0.02
25.0  20.0  30.0  0.349  0.02  -0.02  0.026  -0.026
35.0  30.0  40.0  0.484  0.029  -0.029  0.038  -0.038
45.0  40.0  50.0  0.514  0.039  -0.039  0.049  -0.049
75.0  50.0  100.0  0.672  0.049  -0.049  0.084  -0.062

# NPART  Centrality [PCT] LOW  Centrality [PCT] HIGH  $ R_{AA} $  stat +  stat -  sys +  sys -
358.8  0.0  10.0  0.212  0.012  -0.012  0.016  -0.016
264.2  10.0  20.0  0.27  0.015  -0.015  0.02  -0.02
189.2  20.0  30.0  0.349  0.02  -0.02  0.026  -0.026
131.4  30.0  40.0  0.484  0.029  -0.029  0.038  -0.038
86.9  40.0  50.0  0.514  0.039  -0.039  0.049  -0.049
21.9  50.0  100.0  0.672  0.049  -0.049  0.084  -0.062

# Centrality [PCT]  Centrality [PCT] LOW  Centrality [PCT] HIGH  NPART  error +  error -
# 5.0  0.0  10.0  358.8  2.4  -2.6
# 15.0  10.0  20.0  264.2  3.6  -3.8
# 25.0  20.0  30.0  189.2  4.0  -4.1
# 35.0  30.0  40.0  131.4  4.0  -4.0
# 45.0  40.0  50.0  86.9  3.7  -3.7
# 75.0  50.0  100.0  21.9  1.8  -1.0

