#: table_doi: 10.17182/hepdata.80816.v1/t15
#: name: Table 15
#: description: Nuclear modification factor of prompt J/psi mesons as a function of collision centrality in the mid-rapidity range. Global uncertainties arise from the full pp statistical and systematic uncertainties (including integrated luminosity uncertainty), and the number of minimum bias events uncertainty of the PbPb data.
#: data_file: data15.yaml
#: keyword reactions: PB PB --> J/PSI X | P P --> J/PSI X
#: keyword observables: RAA
#: keyword phrases: J/Psi | Nuclear Modification Factor | Prompt | Proton-Proton Scattering | Lead-Lead Scattering | Muon production
#: keyword cmenergies: 5020.0
#: PT [GeV],,,6.5-30.0
#: ABS(YRAP),,,0.0-1.6
#: RE,,,PB PB --> J/PSI < MU+ MU- > X,,,,
#: GLOBAL UNCERT.,,,5.7 %
#: SQRT(S)/NUCLEON [GeV],,,5020.0
# Centrality [PCT]  Centrality [PCT] LOW  Centrality [PCT] HIGH  $ R_{AA} $  stat +  stat -  sys +  sys -
5.0  0.0  10.0  0.251  0.005  -0.005  0.02  -0.02
15.0  10.0  20.0  0.33  0.007  -0.007  0.023  -0.024
25.0  20.0  30.0  0.397  0.01  -0.01  0.029  -0.029
35.0  30.0  40.0  0.461  0.013  -0.013  0.035  -0.035
45.0  40.0  50.0  0.615  0.021  -0.021  0.053  -0.053
75.0  50.0  100.0  0.704  0.025  -0.025  0.087  -0.064

# Centrality [PCT]  Centrality [PCT] LOW  Centrality [PCT] HIGH  $ R_{AA} $  stat +  stat -  sys +  sys -
358.8  0.0  10.0  0.251  0.005  -0.005  0.02  -0.02
264.2  10.0  20.0  0.33  0.007  -0.007  0.023  -0.024
189.2  20.0  30.0  0.397  0.01  -0.01  0.029  -0.029
131.4  30.0  40.0  0.461  0.013  -0.013  0.035  -0.035
86.9  40.0  50.0  0.615  0.021  -0.021  0.053  -0.053
21.9  50.0  100.0  0.704  0.025  -0.025  0.087  -0.064

# Centrality [PCT]  Centrality [PCT] LOW  Centrality [PCT] HIGH  NPART  error +  error -
# 5.0  0.0  10.0  358.8  2.4  -2.6
# 15.0  10.0  20.0  264.2  3.6  -3.8
# 25.0  20.0  30.0  189.2  4.0  -4.1
# 35.0  30.0  40.0  131.4  4.0  -4.0
# 45.0  40.0  50.0  86.9  3.7  -3.7
# 75.0  50.0  100.0  21.9  1.8  -1.0

