# spectrum_5.02TeV_4<pTD<20GeV(p+p and Pb+Pb, Fig.3(a) in our paper):
# r_i   r_f   rbin  1/NdN/dr_(p+p)  1/NdN/dr_(Pb+Pb)
0     0.02  0.02  1.80733         1.38412
0.02  0.04  0.02  4.92626         3.78752
0.04  0.06  0.02  6.20969         5.18205
0.06  0.08  0.02  6.22949         5.67293
0.08  0.1   0.02  5.72395         5.60933
0.1   0.12  0.02  5.01797         5.26936
0.12  0.14  0.02  4.39593         4.77086
0.14  0.16  0.02  3.81829         4.27483
0.16  0.18  0.02  3.25893         3.77272
0.18  0.2   0.02  2.80669         3.29517
0.2   0.22  0.02  2.33005         2.78983
0.22  0.24  0.02  1.75991         2.1403
0.24  0.26  0.02  1.15955         1.38177
0.26  0.28  0.02  0.49383         0.59154
0.28  0.3   0.02  0.06213         0.07766

# spectrum_5.02TeV_pTD>20GeV(p+p and Pb+Pb, Fig.3(b) in our paper):
# r_i   r_f   rbin  1/NdN/dr_(p+p)  1/NdN/dr_(Pb+Pb)
0     0.02  0.02  30.8864         32.20333
0.02  0.04  0.02  10.9349         9.50382
0.04  0.06  0.02  4.16446         4.09243
0.06  0.08  0.02  1.92159         1.99598
0.08  0.1   0.02  0.99011         1.04925
0.1   0.12  0.02  0.53521         0.56931
0.12  0.14  0.02  0.2953          0.30853
0.14  0.16  0.02  0.15596         0.16092
0.16  0.18  0.02  0.07608         0.07688
0.18  0.2   0.02  0.02879         0.02845
0.2   0.22  0.02  0.0082          0.00802
0.22  0.24  0.02  0.00188         0.00178
0.24  0.26  0.02  2.67332E-4      2.70367E-4
0.26  0.3   0.04  1.12561E-4      1.42496E-4

# ratio(PbPb/pp)_4<pTD<20GeV(Fig.4(a) in our paper):
# r_i   r_f   rbin  ratio
0     0.05  0.05  0.82584
0.05  0.1   0.05  0.94044
0.1   0.3   0.2   1.0969

# ratio(PbPb/pp)_pTD>20GeV(Fig.4(b) in our paper):
# r_i   r_f   rbin  ratio
0     0.05  0.05  0.99032
0.05  0.1   0.05  1.02785
0.1   0.3   0.2   1.05316

# ratio(PbPb/pp)_4<pTD<20GeV(Fig.5 in our paper):
# r_i   r_f   rbin  Radiative  Collisional  Total
0     0.02  0.02  0.74328    0.80641      0.65339
0.02  0.04  0.02  0.73071    0.79132      0.65711
0.04  0.06  0.02  0.79852    0.86114      0.74405
0.06  0.08  0.02  0.89943    0.94001      0.86193
0.08  0.1   0.02  0.96361    1.00841      0.96366
0.1   0.12  0.02  1.05988    1.06316      1.06497
0.12  0.14  0.02  1.0822     1.0796       1.12539
0.14  0.16  0.02  1.1559     1.09073      1.19632
0.16  0.18  0.02  1.19451    1.11614      1.24163
0.18  0.2   0.02  1.21178    1.11721      1.27604
0.2   0.22  0.02  1.22752    1.14254      1.29785
0.22  0.24  0.02  1.26127    1.15327      1.33731
0.24  0.26  0.02  1.22196    1.13811      1.29348
0.26  0.28  0.02  1.25456    1.15528      1.3217
0.28  0.3   0.02  1.29003    1.10133      1.3255

# Note that r_i and r_f represent the bin of r in our calculations, rbin is the bin size
