Update: 20240831,,,,,,,,,,,,
H: Hepdata tables,,D: data point extraction of preliminary plots,,,X: will not include,M: data table missing for published results,,,,,,
,Web,Collaboration,Probe,Collision system,Observable,Dataset / Version,e-print,Reference,,,,
,,Initial production & Total cross-section,,,,,,,,,,
,,,Charm,,,,,,,,,
Published,X,ALICE,Prompt D,pp,pp Ref,5.02 TeV (2017),2102.13601,JHEP 05 (2021) 220,,,initial,charm
Obsolete,X,ALICE,Prompt D,pp,pp Ref,5.02 TeV (2017),1901.07979,EPJC 79 (2019) 388,,,initial,charm
Published,X,ALICE,c-hadrons,pp,,5.02 TeV (2017),2105.06335,PRD 105 (2022) L011103,,,initial;had,charm
Published,X,ALICE,c-hadrons,pp,,13 TeV,2308.04877,JHEP 12 (2023) 086,,,initial;had,charm
e-print,X,ALICE,c-hadrons,pPb,,5.02 TeV,2405.14571,,,,initial;had,charm
Published,X,LHCb,c-hadrons,pp,,13 TeV,1510.01707,JHEP03(2016)159,,,initial;had,charm
Published,X,ALICE,D0,pp,FF in jet,13 TeV,2204.10167,JHEP 06 (2023) 133,,,initial,charm
Published,X,ALICE,,pp,pp Ref,5.02 TeV (2015),1905.07207,JHEP 09 (2019) 008,,,initial,charm
,,,Beauty,,,,,,,,,
Published,X,LHCb,b-hadrons,pp,,13 TeV,1902.06794,PRD 100 (2019) 031102,,,initial;had,beauty
e-print,X,ALICE,b→c-hadrons,pp,,13 TeV,2402.16417,,,,initial;had,beauty
,,,,,,,,,,,,
e-print,X,CMS,J/ψ+J/ψ,pPb,DPS,8.16 TeV,2407.03223,,,,initial,charm
Published,X,ALICE,J/ψ+J/ψ,pp,DPS,13 TeV,2303.13431,PRC 108 (2023) 045203 ,,,initial,charm
Published,X,LHCb,J/ψ+J/ψ,pp,DPS,13 TeV,2311.14085,JHEP 03 (2024) 088,,,initial,charm
,,Bulk interaction: Spectra and Energy loss,,,,,,,,,,
,,,Light,,,,,,,,,
Published,H,CMS,h±,PbPb,RAA,5.02 TeV (2015),1611.01664,JHEP 04 (2017) 039,,,,
,,,Charm,,,,,,,,,
Published,H,CMS,Prompt D0,PbPb,RAA,5.02 TeV (2015),1708.04962,PLB 782 (2018) 474,,,eloss;inital,charm
Published,H,ALICE,Prompt D,PbPb,RAA,5.02 TeV (2018),2110.09420,JHEP 01 (2022) 174,,,eloss,charm
Published,X,ALICE,Prompt D,PbPb,RAA,5.02 TeV (2015),1804.09083,JHEP 10 (2018) 174,,,eloss;inital,charm
