#: table_doi: 10.17182/hepdata.80816.v1/t9
#: name: Table 9
#: description: Nuclear modification factor of prompt J/psi mesons as a function of dimuon pT. Global uncertainties arise from the integrated luminosity uncertainty of the pp data, and the number of minimum bias events and TAA uncertainties of the PbPb data.
#: data_file: data9.yaml
#: keyword reactions: PB PB --> J/PSI X | P P --> J/PSI X
#: keyword observables: RAA
#: keyword phrases: J/Psi | Nuclear Modification Factor | Prompt | Proton-Proton Scattering | Lead-Lead Scattering | Muon production
#: keyword cmenergies: 5020.0
#: ABS(YRAP),,,0.0-2.4
#: Centrality,,,0-100 %
#: RE,,,PB PB --> J/PSI < MU+ MU- > X,,,,
#: GLOBAL UNCERT.,,,+4.1 -4.6 %
#: SQRT(S)/NUCLEON [GeV],,,5020.0
# PT [GeV],PT [GeV] LOW,PT [GeV] HIGH,$ R_{AA} $,stat +,stat -,sys +,sys -
7.0  6.5  7.5  0.361  0.012  -0.012  0.035  -0.035
8.0  7.5  8.5  0.348  0.01  -0.01  0.027  -0.027
9.0  8.5  9.5  0.334  0.009  -0.009  0.022  -0.022
10.25  9.5  11.0  0.33  0.008  -0.008  0.019  -0.019
12.0  11.0  13.0  0.339  0.009  -0.009  0.019  -0.019
14.0  13.0  15.0  0.36  0.011  -0.011  0.019  -0.019
16.25  15.0  17.5  0.36  0.013  -0.013  0.019  -0.019
18.75  17.5  20.0  0.364  0.017  -0.017  0.023  -0.023
22.5  20.0  25.0  0.425  0.021  -0.021  0.023  -0.023
27.5  25.0  30.0  0.521  0.039  -0.039  0.035  -0.035
32.5  30.0  35.0  0.495  0.055  -0.055  0.048  -0.048
42.5  35.0  50.0  0.521  0.068  -0.068  0.047  -0.047

