#: table_doi: 10.17182/hepdata.80816.v1/t26
#: name: Table 26
#: description: Nuclear modification factor of nonprompt J/psi mesons as a function of collision centrality. Global uncertainties arise from the full pp statistical and systematic uncertainties (including integrated luminosity uncertainty), and the number of minimum bias events uncertainty of the PbPb data.
#: data_file: data26.yaml
#: keyword reactions: PB PB --> NONPROMPT_J/PSI X | P P --> NONPROMPT_J/PSI X
#: keyword observables: RAA
#: keyword phrases: J/Psi | Nuclear Modification Factor | NonPrompt | Proton-Proton Scattering | Lead-Lead Scattering | Muon production
#: keyword cmenergies: 5020.0
#: PT [GeV],,,6.5-50.0
#: ABS(YRAP),,,0.0-2.4
#: RE,,,PB PB --> NONPROMPT_J/PSI < MU+ MU- > X,,,,
#: GLOBAL UNCERT.,,,5.8 %
#: SQRT(S)/NUCLEON [GeV],,,5020.0
# Centrality [PCT]  Centrality [PCT] LOW  Centrality [PCT] HIGH  $ R_{AA} $  stat +  stat -  sys +  sys -
2.5  0.0  5.0  0.365  0.009  -0.009  0.023  -0.024
7.5  5.0  10.0  0.375  0.01  -0.01  0.024  -0.026
12.5  10.0  15.0  0.438  0.012  -0.012  0.027  -0.028
17.5  15.0  20.0  0.455  0.013  -0.013  0.03  -0.031
22.5  20.0  25.0  0.496  0.015  -0.015  0.036  -0.036
27.5  25.0  30.0  0.516  0.017  -0.017  0.038  -0.039
32.5  30.0  35.0  0.571  0.018  -0.018  0.042  -0.042
37.5  35.0  40.0  0.597  0.021  -0.021  0.046  -0.046
42.5  40.0  45.0  0.601  0.025  -0.025  0.053  -0.053
47.5  45.0  50.0  0.683  0.03  -0.03  0.063  -0.062
55.0  50.0  60.0  0.721  0.029  -0.029  0.063  -0.074
65.0  60.0  70.0  0.762  0.043  -0.043  0.104  -0.096
85.0  70.0  100.0  0.615  0.052  -0.052  0.107  -0.073
