CUJET3 predictions on (B -> D) RAA @ 5020GeV 0-100% Pb-Pb collisions.
RAA_1 : alpha_c=1.000, c_m=0.28
RAA_2 : alpha_c=0.800, c_m=0.22
pT(GeV)	RAA_1	RAA_2

5.0	0.493347	0.585987
5.5	0.492791	0.585453
6.0	0.492162	0.584856
6.5	0.491481	0.584217
7.0	0.490770	0.583558
7.5	0.490050	0.582898
8.0	0.489343	0.582258
8.5	0.488671	0.581657
9.0	0.488054	0.581118
9.5	0.487516	0.580660
10.0	0.487071	0.580296
10.5	0.486725	0.580033
11.0	0.486478	0.579870
11.5	0.486325	0.579801
12.0	0.486263	0.579822
12.5	0.486287	0.579929
13.0	0.486394	0.580117
13.5	0.486579	0.580382
14.0	0.486839	0.580721
14.5	0.487170	0.581130
15.0	0.487570	0.581606
15.5	0.488036	0.582144
16.0	0.488563	0.582741
16.5	0.489150	0.583396
17.0	0.489793	0.584103
17.5	0.490490	0.584862
18.0	0.491238	0.585668
18.5	0.492034	0.586520
19.0	0.492876	0.587414
19.5	0.493762	0.588348
20.0	0.494690	0.589320
20.5	0.495657	0.590328
21.0	0.496661	0.591369
21.5	0.497699	0.592441
22.0	0.498771	0.593542
22.5	0.499874	0.594670
23.0	0.501006	0.595824
23.5	0.502166	0.597000
24.0	0.503350	0.598199
24.5	0.504559	0.599417
25.0	0.505790	0.600653
25.5	0.507042	0.601906
26.0	0.508312	0.603173
26.5	0.509600	0.604454
27.0	0.510904	0.605748
27.5	0.512222	0.607051
28.0	0.513554	0.608364
28.5	0.514897	0.609685
29.0	0.516251	0.611013
29.5	0.517614	0.612346
30.0	0.518985	0.613683
30.5	0.520363	0.615023
31.0	0.521746	0.616366
31.5	0.523134	0.617710
32.0	0.524526	0.619053
32.5	0.525919	0.620396
33.0	0.527314	0.621736
33.5	0.528709	0.623074
34.0	0.530104	0.624408
34.5	0.531497	0.625738
35.0	0.532888	0.627062
35.5	0.534276	0.628381
36.0	0.535659	0.629692
36.5	0.537037	0.630996
37.0	0.538410	0.632292
37.5	0.539777	0.633580
38.0	0.541136	0.634857
38.5	0.542488	0.636126
39.0	0.543831	0.637383
39.5	0.545166	0.638630
40.0	0.546491	0.639865
40.5	0.547805	0.641088
41.0	0.549109	0.642299
41.5	0.550402	0.643498
42.0	0.551684	0.644683
42.5	0.552953	0.645855
43.0	0.554210	0.647013
43.5	0.555454	0.648158
44.0	0.556684	0.649288
44.5	0.557902	0.650403
45.0	0.559105	0.651504
45.5	0.560294	0.652590
46.0	0.561469	0.653660
46.5	0.562628	0.654716
47.0	0.563773	0.655756
47.5	0.564903	0.656780
48.0	0.566018	0.657789
48.5	0.567117	0.658783
49.0	0.568201	0.659760
49.5	0.569268	0.660722
50.0	0.570320	0.661667
50.5	0.571356	0.662597
51.0	0.572376	0.663511
51.5	0.573380	0.664410
52.0	0.574368	0.665292
52.5	0.575340	0.666159
53.0	0.576295	0.667010
53.5	0.577235	0.667845
54.0	0.578158	0.668665
54.5	0.579065	0.669470
55.0	0.579957	0.670259
55.5	0.580832	0.671033
56.0	0.581692	0.671791
56.5	0.582536	0.672535
57.0	0.583364	0.673264
57.5	0.584177	0.673978
58.0	0.584974	0.674678
58.5	0.585756	0.675363
59.0	0.586523	0.676034
59.5	0.587275	0.676691
60.0	0.588012	0.677334
60.5	0.588734	0.677964
61.0	0.589441	0.678580
61.5	0.590134	0.679182
62.0	0.590813	0.679772
62.5	0.591478	0.680348
63.0	0.592129	0.680912
63.5	0.592767	0.681463
64.0	0.593390	0.682002
64.5	0.594001	0.682529
65.0	0.594598	0.683044
65.5	0.595183	0.683547
66.0	0.595755	0.684039
66.5	0.596314	0.684519
67.0	0.596861	0.684988
67.5	0.597396	0.685447
68.0	0.597919	0.685894
68.5	0.598430	0.686332
69.0	0.598930	0.686758
69.5	0.599418	0.687175
70.0	0.599895	0.687582
70.5	0.600362	0.687979
71.0	0.600818	0.688367
71.5	0.601264	0.688746
72.0	0.601700	0.689116
72.5	0.602126	0.689478
73.0	0.602543	0.689830
73.5	0.602949	0.690175
74.0	0.603347	0.690511
74.5	0.603735	0.690839
75.0	0.604115	0.691160
75.5	0.604486	0.691472
76.0	0.604848	0.691778
76.5	0.605203	0.692076
77.0	0.605549	0.692367
77.5	0.605888	0.692652
78.0	0.606219	0.692930
78.5	0.606542	0.693202
79.0	0.606859	0.693467
79.5	0.607169	0.693726
80.0	0.607474	0.693981
80.5	0.607773	0.694232
81.0	0.608068	0.694478
81.5	0.608358	0.694721
82.0	0.608646	0.694961
82.5	0.608933	0.695200
83.0	0.609219	0.695439
83.5	0.609506	0.695677
84.0	0.609795	0.695917
84.5	0.610091	0.696164
85.0	0.610399	0.696419
85.5	0.610728	0.696692
86.0	0.611102	0.697002
86.5	0.611685	0.697484
87.0	0.610809	0.696759
87.5	0.611729	0.697521
88.0	0.612169	0.697884
88.5	0.612557	0.698204
89.0	0.612919	0.698503
89.5	0.613253	0.698778
90.0	0.613550	0.699022
90.5	0.613805	0.699232
91.0	0.614018	0.699407
91.5	0.614196	0.699553
92.0	0.614349	0.699678
92.5	0.614487	0.699792
93.0	0.614622	0.699903
93.5	0.614760	0.700017
94.0	0.614906	0.700138
94.5	0.615065	0.700268
95.0	0.615237	0.700411
95.5	0.615424	0.700565
96.0	0.615626	0.700732
96.5	0.615842	0.700911
97.0	0.616074	0.701103
97.5	0.616320	0.701306
98.0	0.616580	0.701521
98.5	0.616854	0.701748
99.0	0.617143	0.701987
99.5	0.617445	0.702237
100.0	0.617761	0.702498
